0 0:	3 (11 8) 10
0 1:	11 (3 10) 6
0 2:	3 (6 6) 2
0 3:	6 (8 2) 11
0 4:	8 (7 11) 6
0 5:	7 (2 6) 2
0 6:	2 (1 2) 10
0 7:	1 (7 10) 11
0 8:	7 (11 11) 10
0 9:	11 (9 10) 11
0 10:	9 (4 11) 3
0 11:	4 (10 3) 4
0 12:	10 (6 4) 3
0 13:	6 (11 3) 11
0 14:	11 (0 11) 0
0 15:	0 (5 0) 6
0 16:	5 (9 6) 9
0 17:	9 (11 9) 10
0 18:	11 (3 10) 3
0 19:	3 (1 3) 6
0 20:	1 (6 6) 2
0 21:	6 (11 2) 3
0 22:	11 (0 3) 9
0 23:	0 (6 9) 6
0 24:	6 (7 6) 4
0 25:	7 (2 4) 9
0 26:	2 (1 9) 6
0 27:	1 (5 6) 10
0 28:	5 (8 10) 4
0 29:	8 (9 4) 8
0 30:	9 (0 8) 9
0 31:	0 (8 9) 0
0 32:	8 (4 0) 9
0 33:	4 (7 9) 11
0 34:	7 (5 11) 3
0 35:	5 (8 3) 2
0 36:	8 (7 2) 2
0 37:	7 (8 2) 8
0 38:	8 (1 8) 0
0 39:	1 (8 0) 3
0 40:	8 (9 3) 3
0 41:	9 (4 3) 5
0 42:	4 (5 5) 5
0 43:	5 (1 5) 9
0 44:	1 (5 9) 11
0 45:	5 (5 11) 10
0 46:	5 (2 10) 10
0 47:	2 (9 10) 6
0 48:	9 (7 6) 2
0 49:	7 (10 2) 1
0 50:	10 (7 1) 7
0 51:	7 (0 7) 8
0 52:	0 (6 8) 7
0 53:	6 (4 7) 0
0 54:	4 (1 0) 10
0 55:	1 (11 10) 9
0 56:	11 (2 9) 6
0 57:	2 (6 6) 8
0 58:	6 (7 8) 8
0 59:	7 (8 8) 4
0 60:	8 (1 4) 2
0 61:	1 (10 2) 5
0 62:	10 (1 5) 0
0 63:	1 (6 0) 0
0 64:	6 (1 0) 0
0 65:	1 (9 0) 2
0 66:	9 (11 2) 11
0 67:	11 (6 11) 8
0 68:	6 (2 8) 1
0 69:	2 (7 1) 4
0 70:	7 (5 4) 10
0 71:	5 (3 10) 3
0 72:	3 (7 3) 1
0 73:	7 (9 1) 10
0 74:	9 (4 10) 6
0 75:	4 (2 6) 9
0 76:	2 (6 9) 7
0 77:	6 (9 7) 7
0 78:	9 (5 7) 5
0 79:	5 (0 5) 11
0 80:	0 (3 11) 5
0 81:	3 (5 5) 1
0 82:	5 (0 1) 5
0 83:	0 (1 5) 7
0 84:	1 (8 7) 11
0 85:	8 (7 11) 2
0 86:	7 (2 2) 8
0 87:	2 (10 8) 8
0 88:	10 (3 8) 2
0 89:	3 (2 2) 1
0 90:	2 (8 1) 10
0 91:	8 (4 10) 3
0 92:	4 (10 3) 4
0 93:	10 (0 4) 9
0 94:	0 (11 9) 0
0 95:	11 (0 0) 7
0 96:	0 (10 7) 11
0 97:	10 (3 11) 9
0 98:	3 (0 9) 3
0 99:	0 (7 3) 1
0 100:	7 (1 1) 1
0 101:	1 (10 1) 6
0 102:	10 (9 6) 0
0 103:	9 (3 0) 7
0 104:	3 (6 7) 3
0 105:	6 (8 3) 11
0 106:	8 (5 11) 2
0 107:	5 (6 2) 7
0 108:	6 (6 7) 8
0 109:	6 (8 8) 5
0 110:	8 (10 5) 2
0 111:	10 (2 2) 4
0 112:	2 (6 4) 5
0 113:	6 (9 5) 3
0 114:	9 (1 3) 11
0 115:	1 (8 11) 7
0 116:	8 (4 7) 1
0 117:	4 (4 1) 3
0 118:	4 (5 3) 10
0 119:	5 (4 10) 3
0 120:	4 (5 3) 5
0 121:	5 (7 5) 1
0 122:	7 (7 1) 8
0 123:	7 (1 8) 3
0 124:	1 (4 3) 1
0 125:	4 (5 1) 0
0 126:	5 (10 0) 3
0 127:	10 (0 3) 5
0 128:	0 (11 5) 5
0 129:	11 (4 5) 9
0 130:	4 (1 9) 7
0 131:	1 (3 7) 1
0 132:	3 (2 1) 10
0 133:	2 (0 10) 5
0 134:	0 (11 5) 11
0 135:	11 (10 11) 11
0 136:	10 (11 11) 2
0 137:	11 (3 2) 5
0 138:	3 (2 5) 1
0 139:	2 (2 1) 3
0 140:	2 (0 3) 8
0 141:	0 (9 8) 2
0 142:	9 (1 2) 11
0 143:	1 (7 11) 9
0 144:	7 (6 9) 1
0 145:	6 (0 1) 11
0 146:	0 (11 11) 8
0 147:	11 (1 8) 5
0 148:	1 (3 5) 3
